ingredient_name,used_by_recipe_count,category,category_order,display_status,review_note
"Onion","52","Vegetables","1","visible",""
"Tomato","22","Vegetables","1","visible",""
"Potato","9","Vegetables","1","visible",""
"Carrot","6","Vegetables","1","visible",""
"Vegetables","5","Vegetables","1","visible",""
"Capsicum","3","Vegetables","1","visible",""
"Corn","3","Vegetables","1","visible",""
"Cabbage","2","Vegetables","1","visible",""
"Methi","2","Vegetables","1","visible",""
"Mushroom","2","Vegetables","1","visible",""
"Drumstick","1","Vegetables","1","visible",""
"Gongura","1","Vegetables","1","visible",""
"Palak","1","Vegetables","1","visible",""
"Shallots","1","Vegetables","1","visible",""
"Spring Onion","1","Vegetables","1","visible",""
"Banana","2","Fruits","2","visible",""
"Apple","1","Fruits","2","visible",""
"Rice","25","Grains & Dals","3","visible",""
"Wheat","11","Grains & Dals","3","visible",""
"Besan","10","Grains & Dals","3","visible",""
"Peanut","8","Grains & Dals","3","visible",""
"Urad Dal","7","Grains & Dals","3","visible",""
"Bread","6","Grains & Dals","3","visible",""
"Moong Dal","5","Grains & Dals","3","visible",""
"Idli Rice","4","Grains & Dals","3","visible",""
"Maida","4","Grains & Dals","3","visible",""
"Toor Dal","4","Grains & Dals","3","visible",""
"Dosa Rice","3","Grains & Dals","3","visible",""
"Rice Flour","3","Grains & Dals","3","visible",""
"Pav","2","Grains & Dals","3","visible",""
"Poha","2","Grains & Dals","3","visible",""
"Rajma","2","Grains & Dals","3","visible",""
"Rava","2","Grains & Dals","3","visible",""
"Black Urad Dal","1","Grains & Dals","3","visible",""
"Chana","1","Grains & Dals","3","visible",""
"Chole","1","Grains & Dals","3","hidden","Hidden from visible pantry selection. Kept in database and aliases; users select Chana."
"Dal","1","Grains & Dals","3","visible",""
"Matki","1","Grains & Dals","3","visible",""
"Noodles","1","Grains & Dals","3","visible",""
"Oats","1","Grains & Dals","3","visible",""
"Ragi","1","Grains & Dals","3","visible",""
"Sabudana","1","Grains & Dals","3","visible",""
"Sesame","1","Grains & Dals","3","visible",""
"Sevai","1","Grains & Dals","3","visible",""
"Wheat Flour","1","Grains & Dals","3","visible",""
"Whole Wheat","1","Grains & Dals","3","visible",""
"Chicken","20","Proteins","4","visible",""
"Egg","8","Proteins","4","visible",""
"Paneer","8","Proteins","4","visible",""
"Fish","5","Proteins","4","visible",""
"Keema","2","Proteins","4","visible",""
"Mutton","2","Proteins","4","visible",""
"Pork","2","Proteins","4","visible",""
"Country Chicken","1","Proteins","4","visible",""
"Prawn","1","Proteins","4","visible",""
"Milk","8","Dairy","5","visible",""
"Curd","7","Dairy","5","visible",""
"Butter","4","Dairy","5","visible",""
"Coconut Milk","2","Dairy","5","visible",""
"Khoya","1","Dairy","5","visible",""
"Curry Leaves","27","Spices & Seasonings","6","visible",""
"Garlic","12","Spices & Seasonings","6","visible",""
"Ginger","11","Spices & Seasonings","6","visible",""
"Black Pepper","10","Spices & Seasonings","6","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Coriander","10","Spices & Seasonings","6","visible",""
"Mustard Seeds","10","Spices & Seasonings","6","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Coconut","6","Spices & Seasonings","6","visible",""
"Tamarind","4","Spices & Seasonings","6","visible",""
"Lemon","3","Spices & Seasonings","6","visible",""
"Garam Masala","2","Spices & Seasonings","6","visible",""
"Podi","2","Spices & Seasonings","6","visible",""
"Ajwain","1","Spices & Seasonings","6","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Chaat Masala","1","Spices & Seasonings","6","visible",""
"Cumin","1","Spices & Seasonings","6","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Dry Coconut","1","Spices & Seasonings","6","visible",""
"Dry Fruits","1","Spices & Seasonings","6","visible",""
"Jaggery","1","Spices & Seasonings","6","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Kokum","1","Spices & Seasonings","6","visible",""
"Kolhapuri Masala","1","Spices & Seasonings","6","visible",""
"Madras Curry Powder","1","Spices & Seasonings","6","visible",""
"Mint","1","Spices & Seasonings","6","visible",""
"Misal Masala","1","Spices & Seasonings","6","visible",""
"Tea","1","Spices & Seasonings","6","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Turmeric","1","Spices & Seasonings","6","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Green Chilli","15","Chillies","7","visible",""
"Red Chilli","13","Chillies","7","visible",""
"Chilli","6","Chillies","7","hidden","Hidden generic chilli. Mapped to Red Chilli for visible pantry selection."
"Guntur Chilli","2","Chillies","7","visible",""
"Byadgi Chilli","1","Chillies","7","hidden","Hidden regional chilli. Mapped to Red Chilli for visible pantry selection."
"Mathania Chilli","1","Chillies","7","hidden","Hidden regional chilli. Mapped to Red Chilli for visible pantry selection."
"Oil","17","Oils & Fats","8","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Ghee","12","Oils & Fats","8","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Sesame Oil","2","Oils & Fats","8","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Schezwan Sauce","1","Sauces & Condiments","9","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
"Soy Sauce","1","Sauces & Condiments","9","hidden","Hidden from visible pantry selection for V1. Kept in database for matching/reference."
